stage	exit_code	required	kind	artifact	log_path	duration_s
00_env_probe	0	1	text	-	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/00_env_probe/console.log	0
01_py_compile	0	1	text	-	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/01_py_compile/console.log	1
02_pytest_focused_v2	0	1	text	-	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/02_pytest_focused_v2/console.log	403
03_runtime_smoke	0	1	text	-	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/03_runtime_smoke/console.log	38
r01_04_preflight_api_local	0	1	live_runner	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_04_preflight_api_local/stdout.json	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_04_preflight_api_local/console.log	2
r01_05_formal_api_local_memfd	0	1	live_runner	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_05_formal_api_local_memfd/stdout.json	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_05_formal_api_local_memfd/console.log	2260
r01_06_formal_compare_api_local_memfd	0	1	live_runner	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_06_formal_compare_api_local_memfd/stdout.json	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_06_formal_compare_api_local_memfd/console.log	310
r01_07_dev_compare_api_local_memfd	0	0	live_runner	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_07_dev_compare_api_local_memfd/stdout.json	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_07_dev_compare_api_local_memfd/console.log	120
r01_08_carrier_compare_api_local_memfd	0	0	live_runner	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_08_carrier_compare_api_local_memfd/stdout.json	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_08_carrier_compare_api_local_memfd/console.log	129
r01_09_continuous_api_local	0	0	live_runner	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_09_continuous_api_local/stdout.json	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_09_continuous_api_local/console.log	2553
r01_10_continuous_replay_api_local	0	0	live_runner	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_10_continuous_replay_api_local/stdout.json	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_10_continuous_replay_api_local/console.log	2658
r01_11_replay_negative_api_local	0	1	live_runner	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_11_replay_negative_api_local/stdout.json	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_11_replay_negative_api_local/console.log	2
r01_12_flagship_ablation_api_local	1	0	live_runner	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_12_flagship_ablation_api_local/stdout.json	/statebus/runs/v2-local-api-20260707_130958/artifacts/stages/r01_12_flagship_ablation_api_local/console.log	673
