stage	exit_code	required	kind	artifact	log_path	duration_s
s01_00_base_run_snapshot	0	1	json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_00_base_run_snapshot/stdout.json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_00_base_run_snapshot/console.log	1
s01_00b_base_artifact_integrity_audit	1	1	json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_00b_base_artifact_integrity_audit/stdout.json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_00b_base_artifact_integrity_audit/console.log	0
s01_00c_base_claim_boundary_audit	1	1	json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_00c_base_claim_boundary_audit/stdout.json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_00c_base_claim_boundary_audit/console.log	0
s01_01_container_root_gpu_probe	0	1	json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_01_container_root_gpu_probe/stdout.json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_01_container_root_gpu_probe/console.log	2
s01_02_py_compile_health	0	1	json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_02_py_compile_health/stdout.json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_02_py_compile_health/console.log	0
s01_03_targeted_pytest_health	0	1	json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_03_targeted_pytest_health/stdout.json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_03_targeted_pytest_health/console.log	47
s01_04_kv_prefix_static_health	0	1	json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_04_kv_prefix_static_health/stdout.json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_04_kv_prefix_static_health/console.log	1
s01_05_import_probe	0	1	json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_05_import_probe/stdout.json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_05_import_probe/console.log	1
s01_06_codeact_bwrap_smoke	0	1	json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_06_codeact_bwrap_smoke/stdout.json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_06_codeact_bwrap_smoke/console.log	1
s01_07_codeact_acceptance_api	0	1	codeact	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_07_codeact_acceptance_api/stdout.json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_07_codeact_acceptance_api/console.log	19
s01_08_kv_prefix_demo_api_local	0	1	live_runner	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_08_kv_prefix_demo_api_local/stdout.json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_08_kv_prefix_demo_api_local/console.log	366
s01_09_vllm_prefix_metrics_probe_skipped	0	0	json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_09_vllm_prefix_metrics_probe_skipped/stdout.json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_09_vllm_prefix_metrics_probe_skipped/console.log	0
s01_09b_vllm_prefix_alignment_probe_skipped	0	0	json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_09b_vllm_prefix_alignment_probe_skipped/stdout.json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_09b_vllm_prefix_alignment_probe_skipped/console.log	0
s01_10_flagship_ablation_api_local	0	1	live_runner	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_10_flagship_ablation_api_local/stdout.json	/statebus/runs/sb2-gpu1-health-20260708_110413/artifacts/stages/s01_10_flagship_ablation_api_local/console.log	2364
