category,count,example_run,example_stage,example_path,example
traceback,6,core,lr01_14_formal_compare_latency_rerun_api_local_memfd,/home/qcrs/statebus/runs/v2-local-api-non-kv-20260709_002546-core/artifacts/stages/lr01_14_formal_compare_latency_rerun_api_local_memfd/console.log,"{""empty_output"": ""25: ValueError: expected json object in llm output: ''"", ""json_parse_failure"": ""24: raise ValueError(f\""expected json object in llm output: {text!r}\"")"", ""traceback"": ""3: Traceback (most recent call last):"", ""value_error"": ""25: ValueError: expected json object in llm output: ''""}"
value_error,6,core,lr01_14_formal_compare_latency_rerun_api_local_memfd,/home/qcrs/statebus/runs/v2-local-api-non-kv-20260709_002546-core/artifacts/stages/lr01_14_formal_compare_latency_rerun_api_local_memfd/console.log,"{""empty_output"": ""25: ValueError: expected json object in llm output: ''"", ""json_parse_failure"": ""24: raise ValueError(f\""expected json object in llm output: {text!r}\"")"", ""traceback"": ""3: Traceback (most recent call last):"", ""value_error"": ""25: ValueError: expected json object in llm output: ''""}"
stdout_empty,4,core,lr01_14_formal_compare_latency_rerun_api_local_memfd,/home/qcrs/statebus/runs/v2-local-api-non-kv-20260709_002546-core/artifacts/stages/lr01_14_formal_compare_latency_rerun_api_local_memfd/console.log,"{""empty_output"": ""25: ValueError: expected json object in llm output: ''"", ""json_parse_failure"": ""24: raise ValueError(f\""expected json object in llm output: {text!r}\"")"", ""traceback"": ""3: Traceback (most recent call last):"", ""value_error"": ""25: ValueError: expected json object in llm output: ''""}"
json_parse_failure,3,core,lr01_14_formal_compare_latency_rerun_api_local_memfd,/home/qcrs/statebus/runs/v2-local-api-non-kv-20260709_002546-core/artifacts/stages/lr01_14_formal_compare_latency_rerun_api_local_memfd/console.log,"{""empty_output"": ""25: ValueError: expected json object in llm output: ''"", ""json_parse_failure"": ""24: raise ValueError(f\""expected json object in llm output: {text!r}\"")"", ""traceback"": ""3: Traceback (most recent call last):"", ""value_error"": ""25: ValueError: expected json object in llm output: ''""}"
empty_output,3,core,lr01_14_formal_compare_latency_rerun_api_local_memfd,/home/qcrs/statebus/runs/v2-local-api-non-kv-20260709_002546-core/artifacts/stages/lr01_14_formal_compare_latency_rerun_api_local_memfd/console.log,"{""empty_output"": ""25: ValueError: expected json object in llm output: ''"", ""json_parse_failure"": ""24: raise ValueError(f\""expected json object in llm output: {text!r}\"")"", ""traceback"": ""3: Traceback (most recent call last):"", ""value_error"": ""25: ValueError: expected json object in llm output: ''""}"
optional_stage_fail,3,followup,flagship_family_diag,,{}
unsupported_family,3,extras,x17b_continuous_gridops_world_api_local,/home/qcrs/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x17b_continuous_gridops_world_api_local/console.log,"{""traceback"": ""1: Traceback (most recent call last):"", ""unsupported_family"": ""16: ValueError: continuous execution is only implemented for cross_period_financial_v1, csv_correlation_replay_v1, csv_table_profile_v1, incident_diagnosis_v2, kv_prefix_reuse_v1, long_doc_metric_replay_v1, long_doc_table_v1, got gridops_world_v1"", ""value_error"": ""16: ValueError: continuous execution is only implemented for cross_period_financial_v1, csv_correlation_replay_v1, csv_table_profile_v1, incident_diagnosis_v2, kv_prefix_reuse_v1, long_doc_metric_replay_v1, long_doc_table_v1, got gridops_world_v1""}"
validator_failed,3,core,,artifacts/console.log,"485: {""L3_case_count"":25.0,""L3_quality_pass_count"":25.0,""comparison_summary"":{""artifact_reuse_delta_l2_to_l3"":0.0,""codeact_action_delta_l0_to_l3"":0.0,""control_bytes_delta_l0_to_l1"":31665.0,""protocol_L3_control_bytes"":12920.0,""protocol_L3_prompt_bytes"":154472.0,""protocol_L3_prompt_tokens"":52743.0,""protoco"
stage_fail,2,core,,artifacts/console.log,586: [fail] lr01_14_formal_compare_latency_rerun_api_local_memfd exit=1 (679s)
required_stage_fail,1,core,lr01_14_formal_compare_latency_rerun_api_local_memfd,/home/qcrs/statebus/runs/v2-local-api-non-kv-20260709_002546-core/artifacts/stages/lr01_14_formal_compare_latency_rerun_api_local_memfd/console.log,"{""empty_output"": ""25: ValueError: expected json object in llm output: ''"", ""json_parse_failure"": ""24: raise ValueError(f\""expected json object in llm output: {text!r}\"")"", ""traceback"": ""3: Traceback (most recent call last):"", ""value_error"": ""25: ValueError: expected json object in llm output: ''""}"
