run_label,stage,source,json_path,family_id,task_family,suite_id,layer,mode,profile,row_type,api_prompt_tokens_delta,api_llm_total_tokens_delta,api_completion_tokens_delta,llm_prompt_bytes,prompt_visible_total_bytes,raw_evidence_bytes_seen_by_llm,control_bytes,prompt_scaffolding_bytes_total,llm_prompt_tokens,llm_total_tokens,selected_evidence_bytes,pruning_gain_bytes,api_debug_prompt_tokens_delta,api_debug_llm_total_tokens_delta,llm_prompt_delta_l2_vs_t2,prompt_visible_delta_l2_vs_t2,llm_prompt_saved_by_state_ref_bytes,prompt_visible_saved_by_state_ref_bytes
core,,artifacts/summary.json,key_metrics.r01_07_formal_compare_api_local_memfd,,,,,,,summary_json,-63268,-67989,-4721,,,,,,,,,,,,,,,
core,,artifacts/summary.json,key_metrics.r01_08_dev_compare_api_local_memfd,,,,,,,summary_json,-892,390,1282,,,,,,,,,,,,,,,
core,,artifacts/summary.json,key_metrics.lr02_14_formal_compare_latency_rerun_api_local_memfd,,,,,,,summary_json,-62960,-80465,-17505,,,,,,,,,,,,,,,
core,,artifacts/summary.json,key_metrics.lr03_14_formal_compare_latency_rerun_api_local_memfd,,,,,,,summary_json,-62456,-75303,-12847,,,,,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.family_evidence.0.l0_l3_delta,,,,,,,stage_stdout_json,,,,-88868,-82091,-90815,-30290,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.family_evidence.0.l1_l2_non_text_delta,,,,,,,stage_stdout_json,,,,-86713,-81962,-90815,,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.family_evidence.1.l0_l3_delta,,,,,,,stage_stdout_json,,,,-27330,-17719,-20033,-2307,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.family_evidence.1.l1_l2_non_text_delta,,,,,,,stage_stdout_json,,,,-11964,-12209,-18185,,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.family_evidence.2.l0_l3_delta,,,,,,,stage_stdout_json,,,,-45314,-42131,-53882,-18310,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.family_evidence.2.l1_l2_non_text_delta,,,,,,,stage_stdout_json,,,,-41814,-42113,-53882,,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.l0_l3_delta,,,,,,,stage_stdout_json,,,,-88868,-82091,-90815,-30290,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.l1_l2_non_text_delta,,,,,,,stage_stdout_json,,,,-86713,-81962,-90815,,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.layer_summaries.0,,,,L0,,,stage_stdout_json,,,,179686,140623,136328,35560,39063,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.layer_summaries.1,,,,L1,,,stage_stdout_json,,,,177693,140623,136328,4620,37070,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.layer_summaries.2,,,,L2,,,stage_stdout_json,,,,90980,58661,45513,4850,32319,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.layer_summaries.3,,,,L3,,,stage_stdout_json,,,,90818,58532,45513,5270,32286,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.round_evidence.0,,,,,,,stage_stdout_json,,,,,6143,5928,,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.round_evidence.1,,,,,,,stage_stdout_json,,,,,6817,5973,,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.round_evidence.2,,,,,,,stage_stdout_json,,,,,6768,5928,,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.round_evidence.3,,,,,,,stage_stdout_json,,,,,7375,5928,,,,,,,,,,,,
