run_label,stage,source,json_path,family_id,task_family,suite_id,layer,mode,profile,row_type,persist_and_reload_stage_ms,control_plane_exchange_stage_ms,runtime_commit_finalize_stage_ms,runtime_data_plane_event_stage_ms,runtime_non_executor_stage_ms,runtime_post_executor_stage_ms,runtime_replay_ledger_stage_ms,runtime_driver_stage_ms,telemetry_emit_stage_ms,workspace_input_stage_ms,workspace_output_stage_ms,codeact_execution_stage_ms,execution_log_capture_stage_ms,runtime_signature_stage_ms,persist_bundle_write_stage_ms,persist_core_reload_stage_ms,persist_integrity_check_stage_ms,persist_retrieval_verification_stage_ms,persist_session_ledger_reload_stage_ms,persist_validator_reload_stage_ms,telemetry_event_write_stage_ms,telemetry_fact_write_stage_ms
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.family_evidence.0.runtime_overhead_summary.driver_stage_totals_ms,,,,,,,stage_stdout_json,1168.907,104.020,257.201,37.284,114.084,62.847,40.309,,,,,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.family_evidence.0.runtime_overhead_summary.outer_stage_totals_ms,,,,,,,stage_stdout_json,,,,,,,,2148.968,112.167,180.796,32.025,36950.147,23.510,65.410,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.family_evidence.0.runtime_overhead_summary.persist_and_reload_breakdown_totals_ms,,,,,,,stage_stdout_json,,,,,,,,,,,,,,,812.695,212.120,82.204,24.955,24.910,8.167,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.family_evidence.1.runtime_overhead_summary.driver_stage_totals_ms,,,,,,,stage_stdout_json,1156.336,1416.663,160.909,99.339,104.999,53.151,35.054,,,,,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.family_evidence.1.runtime_overhead_summary.outer_stage_totals_ms,,,,,,,stage_stdout_json,,,,,,,,3369.552,124.497,171.974,30.359,32321.333,21.278,63.138,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.family_evidence.1.runtime_overhead_summary.persist_and_reload_breakdown_totals_ms,,,,,,,stage_stdout_json,,,,,,,,,,,,,,,799.532,213.765,81.766,23.301,25.187,8.684,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.family_evidence.2.runtime_overhead_summary.driver_stage_totals_ms,,,,,,,stage_stdout_json,1305.675,247.165,166.291,83.088,70.847,53.399,40.499,,,,,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.family_evidence.2.runtime_overhead_summary.outer_stage_totals_ms,,,,,,,stage_stdout_json,,,,,,,,2344.036,99.504,208.385,31.188,36255.598,24.055,75.480,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.family_evidence.2.runtime_overhead_summary.persist_and_reload_breakdown_totals_ms,,,,,,,stage_stdout_json,,,,,,,,,,,,,,,899.422,239.984,93.071,28.169,30.885,10.148,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.runtime_overhead_summary.driver_stage_totals_ms,,,,,,,stage_stdout_json,3630.919,1767.847,584.401,219.712,289.929,169.397,115.863,,,,,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.runtime_overhead_summary.outer_stage_totals_ms,,,,,,,stage_stdout_json,,,,,,,,7862.555,336.168,561.156,93.573,105527.078,68.843,204.027,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,evidence_pack.runtime_overhead_summary.persist_and_reload_breakdown_totals_ms,,,,,,,stage_stdout_json,,,,,,,,,,,,,,,2511.649,665.869,257.041,76.425,80.982,26.999,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.layer_summaries.0,,,,L0,,,stage_stdout_json,,,,,,,,,,,,,,,,,,,,,17.352,4.938
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.layer_summaries.0.runtime_overhead,,,,L0,,,stage_stdout_json,,,,,,,,,,,,,,,,,,,,,17.352,4.938
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.layer_summaries.0.runtime_overhead.driver_stage_totals_ms,,,,,,,stage_stdout_json,280.038,20.364,63.821,7.405,22.785,28.494,9.644,,,,,,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.layer_summaries.0.runtime_overhead.outer_stage_totals_ms,,,,,,,stage_stdout_json,,,,,,,,517.672,23.420,46.116,8.283,9213.196,6.050,15.838,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.layer_summaries.0.runtime_overhead.persist_and_reload_breakdown_totals_ms,,,,,,,stage_stdout_json,,,,,,,,,,,,,,,194.109,51.876,19.680,6.142,6.130,2.014,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.layer_summaries.1,,,,L1,,,stage_stdout_json,,,,,,,,,,,,,,,,,,,,,27.072,5.367
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.layer_summaries.1.runtime_overhead,,,,L1,,,stage_stdout_json,,,,,,,,,,,,,,,,,,,,,27.072,5.367
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.evidence_pack.layer_summaries.1.runtime_overhead.driver_stage_totals_ms,,,,,,,stage_stdout_json,291.759,21.599,69.205,8.817,37.443,11.081,9.091,,,,,,,,,,,,,,,
