run_label,stage,state_pool_mode_requested,transport,row_count,memfd_transfer_count,shared_memory_publish_count,mmap_publish_count,semantic_state_transfer_count,state_pool_fallback_count
core,,,,4,78,0,0,0,0
core,,memfd,loopback,1,25,0,0,25,0
core,,memfd,subprocess,1,25,0,0,25,0
core,lr01_14_formal_compare_latency_rerun_api_local_memfd,,,151,75,0,0,125,0
core,lr01_14_formal_compare_latency_rerun_api_local_memfd,memfd,,27,75,0,0,25,0
core,lr02_14_formal_compare_latency_rerun_api_local_memfd,,,253,225,0,0,275,0
core,lr02_14_formal_compare_latency_rerun_api_local_memfd,memfd,,35,275,0,0,75,0
core,lr03_14_formal_compare_latency_rerun_api_local_memfd,,,253,225,0,0,275,0
core,lr03_14_formal_compare_latency_rerun_api_local_memfd,memfd,,35,275,0,0,75,0
core,r01_05_formal_api_local_memfd,,loopback,24,150,0,0,150,0
core,r01_05_formal_api_local_memfd,,,912,450,0,0,550,0
core,r01_05_formal_api_local_memfd,memfd,loopback,4,100,0,0,0,0
core,r01_05_formal_api_local_memfd,memfd,,100,50,0,0,0,0
core,r01_06_formal_carrier_compare_api_local_memfd,,,406,0,0,0,0,0
core,r01_06_formal_carrier_compare_api_local_memfd,memfd,,62,0,0,0,0,0
core,r01_07_formal_compare_api_local_memfd,,,253,225,0,0,275,0
core,r01_07_formal_compare_api_local_memfd,memfd,,35,275,0,0,75,0
core,r01_08_dev_compare_api_local_memfd,,,33,27,0,0,33,0
core,r01_08_dev_compare_api_local_memfd,memfd,,13,33,0,0,9,0
core,r01_09_carrier_compare_api_local_memfd,,,54,0,0,0,0,0
core,r01_09_carrier_compare_api_local_memfd,memfd,,18,0,0,0,0,0
core,r01_10_continuous_api_local,,,1557,0,1080,0,1500,0
core,r01_10_continuous_api_local,auto,,120,0,0,0,0,0
core,r01_11_continuous_replay_api_local,,,1557,0,1080,0,1500,0
core,r01_11_continuous_replay_api_local,auto,,120,0,0,0,0,0
core,r01_13_flagship_ablation_api_local,,,3018,0,2013,0,2547,0
core,r01_13_flagship_ablation_api_local,auto,,364,0,21,0,21,0
core,r01_14_subprocess_formal_api_local_memfd,,subprocess,24,150,0,0,150,0
core,r01_14_subprocess_formal_api_local_memfd,,,912,450,0,0,550,0
core,r01_14_subprocess_formal_api_local_memfd,memfd,subprocess,4,100,0,0,0,0
core,r01_14_subprocess_formal_api_local_memfd,memfd,,100,50,0,0,0,0
extras,,,,6,0,0,0,60,0
extras,,memfd,,3,31,0,0,0,0
extras,,memfd,loopback,1,25,0,0,0,0
extras,,shared_memory,loopback,1,0,25,0,0,0
extras,,shared_memory,,1,0,0,0,0,0
extras,,shared_memory,subprocess,1,0,25,0,0,0
extras,x11_dev_statebus_api_local_memfd,,,120,54,0,0,66,0
extras,x11_dev_statebus_api_local_memfd,memfd,,40,54,0,0,18,0
extras,x13_dev_compare_api_local_memfd,,,33,27,0,0,33,0
extras,x13_dev_compare_api_local_memfd,memfd,,13,33,0,0,9,0
extras,x14_dev_carrier_compare_api_local_memfd,,,54,0,0,0,0,0
extras,x14_dev_carrier_compare_api_local_memfd,memfd,,18,0,0,0,0,0
extras,x15_continuous_csv_table_profile_api_local,,,414,0,280,0,360,0
extras,x15_continuous_csv_table_profile_api_local,auto,,40,0,0,0,0,0
extras,x16_continuous_incident_diagnosis_api_local,,,414,0,280,0,360,0
extras,x16_continuous_incident_diagnosis_api_local,auto,,40,0,0,0,0,0
