stage	exit_code	required	kind	artifact	log_path	duration_s
x00_env_probe	0	1	text	-	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x00_env_probe/console.log	0
x01_py_compile_non_kv	0	1	text	-	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x01_py_compile_non_kv/console.log	1
x02_pytest_full_non_kv_v2	0	1	text	-	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x02_pytest_full_non_kv_v2/console.log	370
x03_runtime_smoke	0	1	text	-	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x03_runtime_smoke/console.log	33
x04_preflight_api_local	0	1	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x04_preflight_api_local/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x04_preflight_api_local/console.log	2
x04b_import_probe	0	1	json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x04b_import_probe/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x04b_import_probe/console.log	1
x04c_codeact_bwrap_smoke	0	1	json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x04c_codeact_bwrap_smoke/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x04c_codeact_bwrap_smoke/console.log	1
x04d_codeact_acceptance_api	0	1	codeact	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x04d_codeact_acceptance_api/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x04d_codeact_acceptance_api/console.log	27
x05_design_csv_table_profile	0	1	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x05_design_csv_table_profile/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x05_design_csv_table_profile/console.log	2
x06_design_incident_diagnosis	0	1	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x06_design_incident_diagnosis/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x06_design_incident_diagnosis/console.log	2
x07_design_long_doc_table	0	1	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x07_design_long_doc_table/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x07_design_long_doc_table/console.log	3
x08_design_csv_correlation_replay	0	1	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x08_design_csv_correlation_replay/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x08_design_csv_correlation_replay/console.log	2
x09_design_cross_period_financial	0	1	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x09_design_cross_period_financial/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x09_design_cross_period_financial/console.log	2
x10_design_long_doc_metric_replay	0	1	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x10_design_long_doc_metric_replay/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x10_design_long_doc_metric_replay/console.log	3
x10b_design_gridops_world	0	1	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x10b_design_gridops_world/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x10b_design_gridops_world/console.log	2
x11_dev_statebus_api_local_memfd	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x11_dev_statebus_api_local_memfd/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x11_dev_statebus_api_local_memfd/console.log	294
x12_dev_external_api_local	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x12_dev_external_api_local/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x12_dev_external_api_local/console.log	50
x13_dev_compare_api_local_memfd	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x13_dev_compare_api_local_memfd/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x13_dev_compare_api_local_memfd/console.log	128
x14_dev_carrier_compare_api_local_memfd	0	0	live_runner	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x14_dev_carrier_compare_api_local_memfd/stdout.json	/statebus/runs/v2-local-api-non-kv-followup-20260709_083750-extras/artifacts/stages/x14_dev_carrier_compare_api_local_memfd/console.log	142
