run_group,stage,layer,family,case_id,role,source_path,role_call_count,hydrated_bytes,hydrated_item_count,memory_bytes,memory_item_count,artifact_bytes,artifact_item_count,text_bytes,text_item_count,table_bytes,table_item_count,state_ref_count,prompt_bytes,prompt_visible_bytes,prompt_scaffolding_bytes,non_external_prompt_visible_bytes,completion_tokens,replay_class,quality_pass
p0_full,02_compare_full,L3,financial_report_analysis,benchmark-sample-1,planner,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/task_metrics.json,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1058.0,0.0,1058.0,0.0,285.0,,True
p0_full,02_compare_full,L3,financial_report_analysis,benchmark-sample-1,retriever,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/task_metrics.json,1.0,298.0,3.0,0.0,0.0,0.0,0.0,298.0,,30.0,1.0,1.0,1675.0,328.0,1347.0,0.0,31.0,,True
p0_full,02_compare_full,L3,financial_report_analysis,benchmark-sample-1,executor,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/task_metrics.json,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,1.0,1.0,1289.0,30.0,1259.0,0.0,31.0,,True
p0_full,02_compare_full,L3,financial_report_analysis,benchmark-sample-1,summarizer,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-1/logs/task_metrics.json,1.0,298.0,3.0,0.0,0.0,220.0,1.0,298.0,,30.0,1.0,1.0,1345.0,548.0,797.0,220.0,77.0,,True
p0_full,02_compare_full,L3,financial_report_analysis,benchmark-sample-2,planner,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-2/logs/task_metrics.json,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1058.0,0.0,1058.0,0.0,318.0,,True
p0_full,02_compare_full,L3,financial_report_analysis,benchmark-sample-2,retriever,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-2/logs/task_metrics.json,1.0,254.0,3.0,0.0,0.0,0.0,0.0,254.0,,30.0,1.0,1.0,1639.0,284.0,1355.0,0.0,31.0,,True
p0_full,02_compare_full,L3,financial_report_analysis,benchmark-sample-2,executor,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-2/logs/task_metrics.json,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,1.0,1.0,1289.0,30.0,1259.0,0.0,31.0,,True
p0_full,02_compare_full,L3,financial_report_analysis,benchmark-sample-2,summarizer,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-2/logs/task_metrics.json,1.0,254.0,3.0,0.0,0.0,220.0,1.0,254.0,,30.0,1.0,1.0,1301.0,504.0,797.0,220.0,79.0,,True
p0_full,02_compare_full,L3,financial_report_analysis,benchmark-sample-3,planner,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-3/logs/task_metrics.json,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1058.0,0.0,1058.0,0.0,315.0,,True
p0_full,02_compare_full,L3,financial_report_analysis,benchmark-sample-3,retriever,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/workspaces/local_vllm/statebus/benchmark-sample-3/logs/task_metrics.json,1.0,291.0,3.0,0.0,0.0,0.0,0.0,291.0,,30.0,1.0,1.0,1668.0,321.0,1347.0,0.0,31.0,,True
