row_type,metric,repeat_index,source_path,comparison_valid,value,count,sum,median,p90_linear,p95_linear,reported_value,matches_report,claim_boundary
repeat,task_ms_delta,1,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/stdout.json,True,209098.77778,,,,,,,,serialized three-repeat aggregate; no p90/p95 stability claim from n=3
repeat,llm_ms_delta,1,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/stdout.json,True,168869.41155900003,,,,,,,,serialized three-repeat aggregate; no p90/p95 stability claim from n=3
repeat,total_tokens_delta,1,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/stdout.json,True,-23588.0,,,,,,,,serialized three-repeat aggregate; no p90/p95 stability claim from n=3
repeat,prompt_tokens_delta,1,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/02_compare_full/stdout.json,True,-27105.0,,,,,,,,serialized three-repeat aggregate; no p90/p95 stability claim from n=3
repeat,task_ms_delta,2,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/12_compare_repeat_2/stdout.json,True,211452.1721800001,,,,,,,,serialized three-repeat aggregate; no p90/p95 stability claim from n=3
repeat,llm_ms_delta,2,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/12_compare_repeat_2/stdout.json,True,170579.7196170002,,,,,,,,serialized three-repeat aggregate; no p90/p95 stability claim from n=3
repeat,total_tokens_delta,2,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/12_compare_repeat_2/stdout.json,True,-23567.0,,,,,,,,serialized three-repeat aggregate; no p90/p95 stability claim from n=3
repeat,prompt_tokens_delta,2,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/12_compare_repeat_2/stdout.json,True,-27119.0,,,,,,,,serialized three-repeat aggregate; no p90/p95 stability claim from n=3
repeat,task_ms_delta,3,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/13_compare_repeat_3/stdout.json,True,213362.4118740001,,,,,,,,serialized three-repeat aggregate; no p90/p95 stability claim from n=3
repeat,llm_ms_delta,3,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/13_compare_repeat_3/stdout.json,True,172405.08636199997,,,,,,,,serialized three-repeat aggregate; no p90/p95 stability claim from n=3
repeat,total_tokens_delta,3,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/13_compare_repeat_3/stdout.json,True,-23503.0,,,,,,,,serialized three-repeat aggregate; no p90/p95 stability claim from n=3
repeat,prompt_tokens_delta,3,/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/13_compare_repeat_3/stdout.json,True,-27091.0,,,,,,,,serialized three-repeat aggregate; no p90/p95 stability claim from n=3
aggregate,task_ms_delta,,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/latency_repeat_summary.json,True,,3,633913.3618340002,211452.1721800001,212980.3639352001,213171.3879046001,211452.1721800001,True,serialized three-repeat aggregate; p90/p95 are descriptive linear interpolation only and do not establish tail-latency stability
aggregate,llm_ms_delta,,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/latency_repeat_summary.json,True,,3,511854.2175380002,170579.7196170002,172040.01301300002,172222.5496875,170579.7196170002,True,serialized three-repeat aggregate; p90/p95 are descriptive linear interpolation only and do not establish tail-latency stability
aggregate,total_tokens_delta,,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/latency_repeat_summary.json,True,,3,-70658.0,-23567.0,-23515.8,-23509.4,-23567.0,True,serialized three-repeat aggregate; p90/p95 are descriptive linear interpolation only and do not establish tail-latency stability
aggregate,prompt_tokens_delta,,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/latency_repeat_summary.json,True,,3,-81315.0,-27105.0,-27093.8,-27092.4,,,serialized three-repeat aggregate; p90/p95 are descriptive linear interpolation only and do not establish tail-latency stability
